BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
208,1.013952,"Điều chỉnh quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất do thay đổi căn cứ quyết định giao đất, cho thuê đất, cho phép chuyển mục đích sử dụng đất; điều chỉnh thời hạn sử dụng đất của dự án đầu tư.",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
209,3.000439,Giao khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản,Biển và hải đảo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
210,3.000443,Công nhận khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản,Biển và hải đảo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
211,3.000441,Trả lại khu vực biển cho cá nhân Việt Nam để nuôi trồng thủy sản,Biển và hải đảo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
212,1.012818,"Thu hồi Giấy chứng nhận đã cấp lần đầu không đúng quy định của pháp luật đất đai do người sử dụng đất, chủ sở hữu tài sản gắn liền với đất phát hiện và cấp lại Giấy chứng nhận sau khi thu hồi",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
213,1.012817,"Xác định lại diện tích đất ở của hộ gia đình, cá nhân đã được cấp Giấy chứng nhận trước ngày 01 tháng 7 năm 2004",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
214,1.012812,Hòa giải tranh chấp đất đai,Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
215,1.012796,Đính chính Giấy chứng nhận đã cấp lần đầu có sai sót,Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
216,1.012753,"Đăng ký đất đai, tài sản gắn liền với đất, cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất lần đầu đối với tổ chức đang sử dụng đất",Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
217,1.011609,"Công nhận hộ làm nông nghiệp, lâm nghiệp, ngư nghiệp và diêm nghiệp có mức sống trung bình",Giảm nghèo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
218,1.011607,"Công nhận hộ nghèo, hộ cận nghèo thường xuyên hằng năm",Giảm nghèo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
219,1.011608,"Công nhận hộ thoát nghèo, hộ thoát cận nghèo thường xuyên hằng năm",Giảm nghèo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
220,1.010091,"Hỗ trợ khám chữa bệnh, trợ cấp tai nạn cho lực lượng xung kích phòng chống thiên tai cấp xã trong trường hợp chưa tham gia bảo hiểm y tế, bảo hiểm xã hội","Quản lý đê điều và phòng, chống thiên tai",Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
221,2.001627,Thẩm định quy trình vận hành đối với công trình thủy lợi lớn và công trình thủy lợi vừa do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã phê duyệt,Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
222,2.001621,"Hỗ trợ đầu tư xây dựng phát triển thủy lợi nhỏ, thuỷ lợi nội đồng và tưới tiên tiến, tiết kiệm nước (Đối với nguồn vốn hỗ trợ trực tiếp, ngân sách địa phương và nguồn vốn hợp pháp khác của địa phương phân bổ dự toán cho UBND cấp xã thực hiện)",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
223,1.003471,"Phê duyệt đề cương, kết quả kiểm định an toàn đập, hồ chứa thủy lợi thuộc thẩm quyền của Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
224,1.003446,"Thẩm định, phê duyệt phương án ứng phó thiên tai cho công trình, vùng hạ du đập trong quá trình thi công thuộc thẩm quyền của UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
225,1.003440,"Thẩm định, phê duyệt phương án ứng phó với tình huống khẩn cấp thuộc thẩm quyền của UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
226,1.003347,"Phê duyệt, công bố công khai quy trình vận hành hồ chứa thủy lợi thuộc thẩm quyền của Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
227,2.001827,"Cấp Giấy chứng nhận cơ sở đủ điều kiện an toàn thực phẩm đối với cơ sở sản xuất, kinh doanh thực phẩm nông, lâm, thủy sản",Quản lý chất lượng nông lâm sản và thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
228,3.000412,Công nhận người lao động có thu nhập thấp,Giảm nghèo,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
229,1.010833,Cấp giấy xác nhận thân nhân của người có công,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
230,1.010829,Di chuyển hài cốt liệt sĩ đang an táng tại nghĩa trang liệt sĩ đi nơi khác theo nguyện vọng của đại diện thân nhân hoặc người hưởng trợ cấp thờ cúng liệt sĩ,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
231,1.010825,Bổ sung tình hình thân nhân trong hồ sơ liệt sĩ.,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
232,1.010824,Hưởng trợ cấp khi người có công đang hưởng trợ cấp ưu đãi từ trần,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
233,1.010821,Giải quyết chế độ hỗ trợ để theo học đến trình độ đại học tại các cơ sở giáo dục thuộc hệ thống giáo dục quốc dân,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
234,1.010817,Công nhận và giải quyết chế độ con đẻ của người hoạt động kháng chiến bị nhiễm chất độc hóa học,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
235,1.010816,Công nhận và giải quyết chế độ ưu đãi người hoạt động kháng chiến bị nhiễm chất độc hóa học,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
236,1.010814,Cấp bổ sung hoặc cấp lại giấy chứng nhận người có công do ngành Lao động - Thương binh và Xã hội quản lý và giấy chứng nhận thân nhân liệt sĩ,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
237,1.010803,Giải quyết chế độ trợ cấp thờ cúng liệt sĩ.,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
238,1.010801,Giải quyết chế độ trợ cấp ưu đãi đối với thân nhân liệt sĩ,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
239,1.010820,Giải quyết chế độ người có công giúp đỡ cách mạng.,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
240,1.010819,"Giải quyết chế độ người hoạt động kháng chiến giải phóng dân tộc, bảo vệ tổ quốc và làm nghĩa vụ quốc tế",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
241,1.010818,"Công nhận và giải quyết chế độ người hoạt động cách mạng, kháng chiến, bảo vệ tổ quốc, làm nghĩa vụ quốc tế bị địch bắt tù, đày",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
242,1.010811,"Cấp tiền mua phương tiện trợ giúp, dụng cụ chỉnh hình, phương tiện, thiết bị phục hồi chức năng đối với trường hợp đang sống tại gia đình hoặc đang được nuôi dưỡng tập trung tại các cơ sở nuôi dưỡng, điều dưỡng do địa phương quản lý",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
243,1.010804,"Giải quyết chế độ ưu đãi đối với trường hợp tặng hoặc truy tặng danh hiệu vinh dự nhà nước “Bà mẹ Việt Nam anh hùng""",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
244,1.010802,Giải quyết chế độ ưu đãi đối với vợ hoặc chồng liệt sĩ lấy chồng hoặc vợ khác,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
245,2.002308,Giải quyết chế độ mai táng phí đối với thanh niên xung phong thời kỳ chống Pháp,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
246,2.001157,Trợ cấp một lần đối với thanh niên xung phong đã hoàn thành nhiệm vụ trong kháng chiến,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
247,1.001257,"Giải quyết trợ cấp một lần đối với người có thành tích tham gia kháng chiến đã được tặng Bằng khen của Thủ tướng Chính phủ, Bằng khen của Chủ tịch Hội đồng Bộ trưởng hoặc Bằng khen của Bộ trưởng, Thủ trưởng cơ quan ngang bộ, Thủ trưởng cơ quan thuộc Chính phủ, Bằng khen của Chủ tịch Ủy ban nhân dân …",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
248,1.013749,"Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B,C,K trong thời kỳ chống mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền nam hoạt động sau hiệp định Giơnevơ năm 1954 đối với cán bộ dân, chính, đảng",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
249,1.013744,"Giải quyết chế độ đối với quân nhân, cán bộ đi chiến trường B,C,K trong thời kỳ chống Mỹ cứu nước không có thân nhân phải trực tiếp nuôi dưỡng và quân nhân, cán bộ được đảng cử ở lại miền nam hoạt động sau hiệp định Giơnevơ năm 1954 đối với cán bộ dân, chính, đảng thuộc diện Trung ương quản lý",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
250,1.010815,Công nhận và giải quyết chế độ ưu đãi người hoạt động cách mạng.,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
251,1.010812,"Tiếp nhận người có công vào cơ sở nuôi dưỡng, điều dưỡng người có công do tỉnh quản lý",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
252,1.010810,"Công nhận đối với người bị thương trong chiến tranh không thuộc quân đội, công an",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
253,1.010805,"Giải quyết chế độ ưu đãi đối với Anh hùng lực lượng vũ trang nhân dân, Anh hùng lao động trong thời kỳ kháng chiến hiện không công tác trong quân đội, công an",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
254,1.010775,Cấp Bằng “Tổ quốc ghi công” đối với người hy sinh thuộc các trường hợp quy định tại Điều 14 Pháp lệnh nhưng chưa được cấp Bằng “Tổ quốc ghi công” mà thân nhân đã được giải quyết chế độ ưu đãi từ ngày 01 tháng 01 năm 1995 đến ngày 30 tháng 9 năm 2006,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
255,1.010774,Cấp Bằng “Tổ quốc ghi công” đối với người hy sinh nhưng chưa được cấp Bằng “Tổ quốc ghi công” mà thân nhân đã được giải quyết chế độ ưu đãi từ ngày 31 tháng 12 năm 1994 trở về trước,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
256,1.010788,Công nhận và giải quyết chế độ ưu đãi người hoạt động cách mạng,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
257,1.010783,"Tiếp nhận người có công vào cơ sở nuôi dưỡng, điều dưỡng người có công do Bộ Nội vụ quản lý",Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
258,1.010777,Cấp đổi Bằng “Tổ quốc ghi công”,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
259,2.001396,Trợ cấp hàng tháng đối với thanh niên xung phong đã hoàn thành nhiệm vụ trong kháng chiến,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
260,1.012591,THỦ TỤC ĐĂNG KÝ BỔ SUNG HOẠT ĐỘNG TÍN NGƯỠNG (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
261,1.014201,Gia hạn giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
262,1.014200,Cấp lại giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
263,1.014198,Gia hạn giấy xác nhận không thuộc diện cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
264,1.000893,"Thủ tục đăng ký khai sinh có yếu tố nước ngoài cho người đã có hồ sơ, giấy tờ cá nhân",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
265,2.002307,Giải quyết chế độ mai táng phí đối với cựu chiến binh,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
266,1.012590,THỦ TỤC ĐĂNG KÝ SINH HOẠT TÔN GIÁO TẬP TRUNG (CẤP XÃ),"Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
267,1.010778,Cấp lại Bằng “Tổ quốc ghi công”,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
268,3.000322,Đăng ký chấm dứt giám sát việc giám hộ,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
269,2.002770,"Xét duyệt học sinh bán trú, học viên bán trú hỗ trợ kinh phí, hỗ trợ gạo",Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
270,1.001622,Hỗ trợ ăn trưa đối với trẻ em mẫu giáo,Giáo dục và đào tạo thuộc hệ thống giáo dục quốc dân,Bộ Giáo dục và Đào tạo,Cấp xã,,,,,,,
271,1.013794,Thủ tục gia hạn giấy chứng nhận đủ điều kiện hoạt động điểm cung cấp dịch vụ trò chơi điện tử công cộng,"Phát thanh, truyền hình và thông tin điện tử","Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
272,1.013793,"Thủ tục sửa đổi, bổ sung giấy chứng nhận đủ điều kiện hoạt động điểm cung cấp dịch vụ trò chơi điện tử công cộng","Phát thanh, truyền hình và thông tin điện tử","Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
273,3.000323,Đăng ký giám sát việc giám hộ,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
274,1.001699,"Xác định, xác định lại mức độ khuyết tật và cấp Giấy xác nhận khuyết tật",Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
275,1.004946,Áp dụng các biện pháp can thiệp khẩn cấp hoặc tạm thời cách ly trẻ em khỏi môi trường hoặc người gây tổn hại cho trẻ em,Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
276,1.014027,"Thực hiện, điều chỉnh, thôi hưởng trợ cấp hưu trí xã hội",Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
277,1.004941,"Đăng ký nhận chăm sóc thay thế cho trẻ em đối với cá nhân, người đại diện gia đình nhận chăm sóc thay thế không phải là người thân thích của trẻ em",Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
278,2.001944,"Thông báo nhận chăm sóc thay thế cho trẻ em đối với cá nhân, người đại diện gia đình nhận chăm sóc thay thế là người thân thích của trẻ em",Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
279,2.001942,"Chuyển trẻ em đang được chăm sóc thay thế tại cơ sở trợ giúp xã hội đến cá nhân, gia đình nhận chăm sóc thay thế",Trẻ em,Bộ Y tế,Cấp xã,,,,,,,
280,1.001653,"Đổi, cấp lại Giấy xác nhận khuyết tật",Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
281,1.014197,Cấp lại giấy xác nhận không thuộc diện cấp giấy phép lao động đối với người lao động nước ngoài làm việc tại Việt Nam,Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
282,1.014319,"THỦ TỤC TUYỂN CHỌN KIẾN TRÚC SƯ TRƯỞNG CẤP BỘ, CẤP TỈNH, DỰ ÁN",Lao động,Bộ Nội vụ,Cấp xã,,,,,,,
283,2.001955,Đăng ký nội quy lao động của doanh nghiệp,"Lao động, tiền lương",Bộ Nội vụ,Cấp xã,,,,,,,
284,1.010772,Cấp Bằng “Tổ quốc ghi công”,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
285,1.010781,Cấp Bằng “Tổ quốc ghi công” đối với người hy sinh hoặc mất tích trong chiến tranh,Người có công,Bộ Nội vụ,Cấp xã,,,,,,,
286,2.002821,"Hỗ trợ đào tạo nghề cho người lao động ở khu vực nông thôn, người lao động là thanh niên",Việc làm,Bộ Nội vụ,Cấp xã,,,,,,,
287,2.002820,Hỗ trợ người lao động đi làm việc ở nước ngoài theo hợp đồng,Quản lý lao động ngoài nước,Bộ Nội vụ,Cấp xã,,,,,,,
288,2.000282,Tiếp nhận đối tượng cần bảo vệ khẩn cấp vào cơ sở trợ giúp xã hội,Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
289,2.000286,Tiếp nhận đối tượng bảo trợ xã hội có hoàn cảnh đặc biệt khó khăn vào cơ sở trợ giúp xã hội,Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
290,1.001776,"Thực hiện, điều chỉnh, thôi hưởng trợ cấp xã hội hàng tháng, hỗ trợ kinh phí chăm sóc, nuôi dưỡng hàng tháng",Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
291,1.001731,Hỗ trợ chi phí mai táng cho đối tượng bảo trợ xã hội,Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
292,2.000477,Dừng trợ giúp xã hội tại cơ sở trợ giúp xã hội,Bảo trợ xã hội,Bộ Y tế,Cấp xã,,,,,,,
293,1.014113,Xét tuyển công chức,"Công chức, viên chức",Bộ Nội vụ,Cấp xã,,,,,,,
294,1.014318,Thủ tục tuyển chọn tổng công trình sư dự án,Lao động,Bộ Nội vụ,Cấp xã,,,,,,,
295,1.014111,Thi tuyển công chức,"Công chức, viên chức",Bộ Nội vụ,Cấp xã,,,,,,,
296,3.000250,"Phê duyệt hoặc điều chỉnh phương án quản lý rừng bền vững của chủ rừng là hộ gia đình, cá nhân, cộng đồng dân cư hoặc hộ gia đình cá nhân liên kết thành nhóm hộ, tổ hợp tác trường hợp có tổ chức các hoạt động du lịch sinh thái",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
297,1.013225,"Cấp giấy phép xây dựng mới đối với công trình cấp III, cấp IV (Công trình không theo tuyến/Theo tuyến trong đô thị/Tín ngưỡng, tôn giáo/Tượng đài, tranh hoành tráng/Theo giai đoạn cho công trình không theo tuyến/Theo giai đoạn cho công trình theo tuyến trong đô thị/Dự án) và nhà ở riêng lẻ",Hoạt động xây dựng,Bộ Xây dựng,Cấp xã,,,,,,,
298,1.014849,"Cấp giấy phép cho các hoạt động trong phạm vi bảo vệ công trình thủy lợi: Xây dựng công trình mới; Lập bến, bãi tập kết nguyên liệu, nhiên liệu, vật tư, phương tiện; Xây dựng công trình ngầm do Chủ tịch UBND cấp tỉnh phân cấp cho Chủ tịch UBND cấp xã",Thủy lợi,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
299,2.000635,"Cấp bản sao Trích lục hộ tịch, bản sao Giấy khai sinh",Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
300,1.004845,Thủ tục đăng ký chấm dứt giám hộ,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
301,1.001193,Thủ tục đăng ký khai sinh,Hộ tịch,Bộ Tư pháp,Cấp xã,,,,,,,
302,2.000908,Thủ tục cấp bản sao từ sổ gốc,Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
303,1.013967,Giải quyết tranh chấp đất đai thuộc thẩm quyền của Chủ tịch Ủy ban nhân dân cấp xã,Đất đai,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
304,1.014310,"Thủ tục hưởng trợ cấp sinh hoạt hàng tháng đối với Nghệ nhân nhân dân, Nghệ nhân ưu tú",Di sản văn hóa,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
305,1.013791,Thủ tục tiếp nhận hồ sơ đăng ký lễ hội quy mô cấp xã,Văn hóa,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
306,1.013792,Thủ tục cấp giấy chứng nhận đủ điều kiện hoạt động điểm cung cấp dịch vụ trò chơi điện tử công cộng,"Phát thanh, truyền hình và thông tin điện tử","Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
307,1.012085,Hủy bỏ Quyết định cấm tiếp xúc theo đơn đề nghị,Gia đình,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
308,1.003622,Thủ tục thông báo tổ chức lễ hội cấp xã,Văn hóa,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
309,2.000794,Thủ tục công nhận câu lạc bộ thể dục thể thao cơ sở,Thể dục thể thao,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
310,1.014312,"Thủ tục thôi hưởng trợ cấp sinh hoạt hàng tháng, bảo hiểm y tế đối với Nghệ nhân nhân dân, Nghệ nhân ưu tú",Di sản văn hóa,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
311,1.012084,"Thủ tục cấm tiếp xúc theo Quyết định của Chủ tịch Ủy ban nhân dân cấp xã theo đề nghị của cơ quan, tổ chức cá nhân",Gia đình,"Bộ Văn hóa, Thể thao và Du lịch",Cấp xã,,,,,,,
312,2.002303,Lập danh sách đối tượng tham gia bảo hiểm y tế do Bộ Lao động – Thương binh và Xã hội quản lý,Bảo hiểm xã hội,Bộ Nội vụ,Cấp xã,,,,,,,
313,1.001612,Đăng ký thành lập hộ kinh doanh,Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
314,2.000720,Đăng ký thay đổi nội dung đăng ký hộ kinh doanh,Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
315,1.001570,"Tạm ngừng kinh doanh, tiếp tục kinh doanh trước thời hạn đã thông báo của hộ kinh doanh",Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
316,2.002867,"Hỗ trợ chi phí khám bệnh, chữa bệnh cho trẻ em theo Nghị quyết số 90/2025/NQ-HĐND","Dân số, bà mẹ - trẻ em",UBND tỉnh Quảng Ninh,Cấp xã,,,,,,,
317,1.001266,Chấm dứt hoạt động hộ kinh doanh,Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
318,2.000575,"Cấp lại Giấy chứng nhận đăng ký hộ kinh doanh, Cấp đổi sang Giấy chứng nhận đăng ký hộ kinh doanh",Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
319,1.014035,Dừng thực hiện thủ tục đăng ký hộ kinh doanh,Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
320,1.014034,"Đăng ký cập nhật, bổ sung thông tin trong hồ sơ đăng ký hộ kinh doanh, hiệu đính thông tin đăng ký hộ kinh doanh",Thành lập và hoạt động doanh nghiệp (hộ kinh doanh),Bộ Tài chính,Cấp xã,,,,,,,
321,2.002635,"Đề nghị thay đổi tên tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã, chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã do xâm phạm quyền sở hữu công nghiệp","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
322,2.002636,"Đề nghị thu hồi Giấy chứng nhận đăng ký tổ hợp tác, Giấy chứng nhận đăng ký hợp tác xã, Giấy chứng nhận đăng ký chi nhánh, văn phòng đại diện đối với trường hợp nội dung kê khai trong hồ sơ đăng ký thành lập là giả mạo","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
323,2.002637,"Đăng ký thành lập tổ hợp tác; đăng ký tổ hợp tác trong trường hợp đã được thành lập trước ngày Luật Hợp tác xã có hiệu lực thi hành, thuộc đối tượng phải đăng ký theo quy định tại khoản 2 Điều 107 Luật Hợp tác xã 2023","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
324,2.002638,"Cấp lại Giấy chứng nhận đăng ký tổ hợp tác/ Giấy chứng nhận đăng ký hợp tác xã/ Giấy chứng nhận đăng ký hoạt động chi nhánh, văn phòng đại diện/ Giấy chứng nhận đăng ký địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã do bị mất, cháy, rách, nát hoặc bị tiêu hủy","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
325,2.002639,Đăng ký thay đổi nội dung đăng ký tổ hợp tác,"Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
326,2.002641,"Thông báo tạm ngừng kinh doanh, tiếp tục kinh doanh trở lại đối với tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã, chi nhánh, văn phòng đại diện, địa điểm kinh doanh","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
327,2.002642,Chấm dứt hoạt động tổ hợp tác,"Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
328,2.002643,"Dừng thực hiện thủ tục đăng ký tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã; Dừng thực hiện thủ tục giải thể hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
329,2.002648,"Hiệu đính, cập nhật, bổ sung thông tin đăng ký hợp tác xã, liên hiệp hợp tác xã, chi nhánh, văn phòng đại diện, địa điểm kinh doanh của hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
330,2.002649,"Thông báo bổ sung, cập nhật thông tin trong hồ sơ đăng ký hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
331,1.005280,"Đăng ký thành lập hợp tác xã, liên hiệp hợp tác xã; đăng ký chuyển đổi tổ hợp tác thành hợp tác xã; đăng ký khi hợp tác xã, liên hiệp hợp tác xã chia, tách, hợp nhất","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
332,2.002123,"Đăng ký hoạt động chi nhánh, văn phòng đại diện, thông báo địa điểm kinh doanh; Thông báo lập chi nhánh, văn phòng đại diện ở nước ngoài của hợp tác xã, liên hiệp hợp tác xã","Thành lập và hoạt động của tổ hợp tác, hợp tác xã, liên hiệp hợp tác xã",Bộ Tài chính,Cấp xã,,,,,,,
