BIỂU MẪU NHẬP DỮ LIỆU THỦ TỤC HÀNH CHÍNH (ĐỒNG BỘ MÃ QR VÀ CÁC CỘT),,,,,,,,,,,,
"Lưu ý: Không đổi tên các cột ở Hàng 3. Cột ""Nội dung đưa vào mã QR"" có thể điền link URL hoặc nội dung văn bản để quét QR.",,,,,,,,,,,,
STT,Mã TTHC (*),Tên Thủ tục Hành chính (*),Lĩnh vực (*),"Bộ, ngành quản lý (*)",Cấp thực hiện / Thẩm quyền (*),Căn cứ pháp lý / Quyết định,Nội dung đưa vào mã QR (URL / Văn bản),BCCI Tiếp nhận (Có/Không),BCCI Trả kết quả (Có/Không),Bộ phận Một cửa (Có/Không),Dịch vụ công trực tuyến (Toàn trình/Một phần/Không),Dùng chung (Có/Không)
47,2.000913,"Chứng thực việc sửa đổi, bổ sung, hủy bỏ giao dịch",Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
48,2.000927,Sửa lỗi sai sót trong giao dịch,Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
49,1.013796,"THỦ TỤC ĐỀ NGHỊ TỔ CHỨC ĐẠI HỘI CỦA TỔ CHỨC TÔN GIÁO, TỔ CHỨC TÔN GIÁO TRỰC THUỘC, TỔ CHỨC ĐƯỢC CẤP CHỨNG NHẬN ĐĂNG KÝ HOẠT ĐỘNG TÔN GIÁO CÓ ĐỊA BÀN HOẠT ĐỘNG Ở MỘT XÃ","Tín ngưỡng, tôn giáo",Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
50,2.001016,Chứng thực văn bản từ chối nhận di sản,Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
51,2.001019,Chứng thực di chúc,Chứng thực,Bộ Tư pháp,Cấp xã,,,,,,,
52,1.010736,Tham vấn trong đánh giá tác động môi trường (cấp xã) (1.010736),Môi trường,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
53,1.002211,Thủ tục công nhận hòa giải viên (cấp xã),Hòa giải ở cơ sở,Bộ Tư pháp,Cấp xã,,,,,,,
54,1.010092,"Trợ cấp tiền tuất, tai nạn (đối với trường hợp tai nạn suy giảm khả năng lao động từ 5% trở lên) cho lực lượng xung kích phòng chống thiên tai cấp xã chưa tham gia bảo hiểm xã hội","Quản lý đê điều và phòng, chống thiên tai",Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
55,1.014801,"Cấp, cấp lại Giấy xác nhận nuôi trồng thủy sản lồng bè, đối tượng thủy sản nuôi chủ lực (hoạt động trên nội địa thuộc phạm vi quản lý và cơ sở nuôi trồng thủy sản lồng bè thuộc thẩm quyền giao khu vực biển của Chủ tịch Ủy ban nhân dân cấp xã)",Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
56,2.000950,Thủ tục công nhận tổ trưởng tổ hòa giải (cấp xã),Hòa giải ở cơ sở,Bộ Tư pháp,Cấp xã,,,,,,,
57,1.014832,"Giao rừng, cho thuê rừng khi đã được giao đất, cho thuê đất có rừng hoặc đã được công nhận quyền sử dụng đất có rừng thuộc thẩm quyền của Chủ tịch Ủy ban nhân dân cấp xã",Lâm nghiệp và kiểm lâm,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
58,2.000930,Thủ tục thôi làm hòa giải viên (cấp xã),Hòa giải ở cơ sở,Bộ Tư pháp,Cấp xã,,,,,,,
59,2.000424,"Thủ tục thực hiện hỗ trợ khi hòa giải viên gặp tai nạn hoặc rủi ro ảnh hưởng đến sức khỏe, tính mạng trong khi thực hiện hoạt động hòa giải",Hòa giải ở cơ sở,Bộ Tư pháp,Cấp xã,,,,,,,
60,1.012893,Bán nhà ở cũ thuộc tài sản công,Nhà ở và công sở,Bộ Xây dựng,Cấp xã,,,,,,,
61,2.001263,Đăng ký việc nuôi con nuôi trong nước,Nuôi con nuôi,Bộ Tư pháp,Cấp xã,,,,,,,
62,1.013702,Công nhận ban vận động thành lập hội,"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
63,1.004478,Công bố mở cảng cá loại III,Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
64,1.013703,Thành lập hội,"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
65,1.012222,Công nhận người có uy tín,Công tác dân tộc,Bộ Dân tộc và Tôn giáo,Cấp xã,,,,,,,
66,1.013704,"Báo cáo tổ chức đại hội thành lập, đại hội nhiệm kỳ, đại hội bất thường của hội","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
67,1.013706,"Thông báo kết quả đại hội và phê duyệt đổi tên hội, phê duyệt điều lệ hội","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
68,1.003956,Công nhận và giao quyền quản lý cho tổ chức cộng đồng (thuộc địa bàn quản lý),Thủy sản,Bộ Nông nghiệp và Môi trường,Cấp xã,,,,,,,
69,1.013707,"Chia, tách; sáp nhập; hợp nhất hội","Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
70,1.013708,Hội tự giải thể,"Quản lý nhà nước về hội, quỹ",Bộ Nội vụ,Cấp xã,,,,,,,
